location_area,property_location,total_price,area_sqft,price(sqft),face,outside_view,lat,long_,property_link
phagi road, phagi road,1052000.0,594,1771.0,,,26.62219,75.4608296,https://www.squareyards.com/resale-66-sq-yd-plot-in-phagi-road/9762634
tonk road, tonk road,6012000.0,1625,3699.0,east facing,garden view,26.888806,75.803537,https://www.squareyards.com/resale-1625-sq-ft-plot-in-tonk-road/9679008
phagi road, phagi road,1722000.0,972,1771.0,,,26.62219,75.4608296,https://www.squareyards.com/resale-108-sq-yd-plot-in-phagi-road/9762681
kalwar road, kalwar road,1221000.0,999,1222.0,east facing,garden view,26.952882,75.699332,https://www.squareyards.com/resale-111-sq-yd-plot-in-kalwar-road/9652773
kalwar road, kalwar road,1397000.0,1143,1222.0,east facing,garden view,26.952882,75.699332,https://www.squareyards.com/resale-127-sq-yd-plot-in-kalwar-road/9657157
kalwar road, kalwar road,1309000.0,119,11000.0,east facing,garden view,26.952882,75.699332,https://www.squareyards.com/resale-119-sq-ft-plot-in-kalwar-road/9656944
hardhyanpura, hardhyanpura,5135000.0,1764,2910.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-196-sq-yd-plot-in/9701170
hardhyanpura, hardhyanpura,5131000.0,1386,3702.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-154-sq-yd-plot-in/9701152
hardhyanpura, hardhyanpura,5135000.0,1746,2941.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-194-sq-yd-plot-in/9701169
hardhyanpura, hardhyanpura,5131000.0,1404,3654.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-156-sq-yd-plot-in/9701153
hardhyanpura, hardhyanpura,5146000.0,1395,3688.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-155-sq-yd-plot-in/9711295
hardhyanpura, hardhyanpura,5150000.0,1368,3764.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-152-sq-yd-plot-in/9717716
hardhyanpura, hardhyanpura,5144000.0,2070,2485.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-230-sq-yd-plot-in/9711321
hardhyanpura, hardhyanpura,5146000.0,1503,3423.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-167-sq-yd-plot-in/9711299
hardhyanpura, hardhyanpura,5152000.0,1557,3308.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-173-sq-yd-plot-in/9717723
hardhyanpura, hardhyanpura,5137000.0,1926,2667.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-214-sq-yd-plot-in/9701179
hardhyanpura, hardhyanpura,5194000.0,1908,2722.0,east facing,garden view,26.8357755,75.5913278,
hardhyanpura, hardhyanpura,5181000.0,1746,2967.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-194-sq-yd-plot-in/9680401
hardhyanpura, hardhyanpura,5194000.0,1800,2885.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-200-sq-yd-plot-in/9685929
hardhyanpura, hardhyanpura,5185000.0,2088,2483.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-232-sq-yd-plot-in/9680421
hardhyanpura, hardhyanpura,5190000.0,1323,3922.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-147-sq-yd-plot-in/9685909
