,property_type,location_area,location,total_price,bhk,bath,covered_parking,open_parking,furnished_status,property_link,builtup_area
790,villa,other, Kalwara,12400000.0,3.0,3.0,2.0,,unfurnished,https://www.squareyards.com/resale-3-bhk-servant-room-152-sq-yd-villa-in-galaxy-the-urban-village/8663908,957.6
791,villa,central jaipur, Tonk Phatak,11500000.0,4.0,3.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-78-sq-yd-villa-in-tonk-phatak/8420659,702.0
792,villa,kalwar road, Kalwar Road,6500000.0,3.0,4.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-100-sq-yd-villa-in-kalwar-road/8517112,630.0
793,villa,other, Niwaru,9000000.0,4.0,4.0,2.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-100-sq-yd-villa-in-niwaru/8678380,630.0
794,villa,jagatpura, Jagatpura,7500000.0,3.0,3.0,1.0,,furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1250-sq-ft-villa-in-porwal-realty/9214260,1250.0
795,villa,mansarovar, Mansarovar,32100000.0,5.0,5.0,1.0,1.0,furnished,https://www.squareyards.com/resale-5-bhk-pooja-room-3600-sq-ft-villa-in-porwal-realty/9243840,3600.0
796,villa,gandhi path, Gandhi Path,19100000.0,4.0,4.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-2200-sq-ft-villa-in-jaipur-property-n-dream-h/8673301,1913.0
798,villa,vaishali nagar, Vaishali Nagar,35100000.0,4.0,5.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-144-sq-yd-villa-in-jaipur-property-n-dream-h/9093246,907.2
799,villa,sanganer, Dadu Dayal Nagar,17500000.0,4.0,4.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-2800-sq-ft-villa-in-apne-zameen-apna-aasman/9473412,2800.0
800,villa,mansarovar, Mansarovar Extension,20000000.0,5.0,5.0,2.0,1.0,semi-furnished,https://www.squareyards.com/resale-5-bhk-pooja-room-study-room-extra-room-138-sq-yd-villa-in-jaipur-property-n-dream-h/9233524,869.4
