,property_type,location_area,location,total_price,bhk,bath,covered_parking,open_parking,furnished_status,property_link,builtup_area
91,flat,jagatpura, Jagatpura,4500000.0,2.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-1000-sq-ft-apartment-in/9669038,1000.0
93,flat,other, Jais,3000000.0,3.0,3.0,2.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-730-sq-ft-apartment-in-govindam-jaisinghpura/9146029,839.0
94,flat,other, Kalwara,27000000.0,4.0,4.0,3.0,,Furnished,https://www.squareyards.com/resale-4-bhk-2545-sq-ft-apartment-in-galaxy-enclave-kalwara/9199177,2545.0
95,flat,jagatpura, Jagatpura,9000000.0,4.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-1760-sq-ft-apartment-in-kalyan-eva/9121083,1760.0
96,flat,vaishali nagar, Vaishali Nagar,4550000.0,2.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-930-sq-ft-apartment-in-vaishali-nagar/9195500,930.0
97,flat,vaishali nagar, Vaishali Nagar,22500000.0,3.0,4.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-servant-room-3127-sq-ft-apartment-in-org-the-sky-bungalows/8919361,3127.0
98,flat,sanganer, Kankha Ki Dhani,1700000.0,2.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-545-sq-ft-apartment-in-chordia-ghar-aangan/8910069,627.0
99,flat,jhotwara, Jhotwara,6200000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-72-sq-yd-apartment-in-shree-balaji-chamber-and/9090202,72.0
100,flat,dholai, Dholai,10700000.0,3.0,3.0,1.0,,Unfurnished,https://www.squareyards.com/resale-3-bhk-1863-sq-ft-apartment-in-reliant-floresta/9393606,1620.0
101,flat,nirman nagar, Nirman Nagar,14500000.0,4.0,4.0,,,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-2104-sq-ft-apartment-in-nirman-nagar/8877412,1829.0
102,flat,jagatpura, Jagatpura,5700000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1452-sq-ft-apartment-in-jagatpura/8379750,1452.0
103,flat,patrakar colony, Patrakar Colony,3800000.0,2.0,2.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-study-room-1100-sq-ft-apartment-in-sky-nation/9114118,1100.0
