,location_area,property_location,total_price,area_sqft,outside_view,property_link
2746,mahaveer nagar, mahaveer nagar,22500000.0,1610.0,road view,https://www.squareyards.com/resale-1610-sq-ft-plot-in-mahaveer-nagar/9845323
2748,mahaveer nagar, mahaveer nagar,27300000.0,1950.0,road view,https://www.squareyards.com/resale-1950-sq-ft-plot-in-mahaveer-nagar/9845305
2749,mahaveer nagar, mahaveer nagar,18300000.0,1310.0,road view,https://www.squareyards.com/resale-1310-sq-ft-plot-in-mahaveer-nagar/9845313
2750,mahaveer nagar, mahaveer nagar,14100000.0,1010.0,road view,https://www.squareyards.com/resale-1010-sq-ft-plot-in-mahaveer-nagar/9845306
2751,mahaveer nagar, mahaveer nagar,16800000.0,1200.0,road view,https://www.squareyards.com/resale-1200-sq-ft-plot-in-mahaveer-nagar/9845259
2752,mahaveer nagar, mahaveer nagar,18200000.0,1300.0,road view,https://www.squareyards.com/resale-1300-sq-ft-plot-in-mahaveer-nagar/9845260
2753,mahaveer nagar, mahaveer nagar,13500000.0,1003.0,road view,https://www.squareyards.com/resale-1003-sq-ft-plot-in-mahaveer-nagar/9845270
2754,mahaveer nagar, mahaveer nagar,26600000.0,1900.0,road view,https://www.squareyards.com/resale-1900-sq-ft-plot-in-mahaveer-nagar/9845271
2758,mahaveer nagar, mahaveer nagar,13500000.0,1004.0,road view,https://www.squareyards.com/resale-1004-sq-ft-plot-in-mahaveer-nagar/9845285
2759,mahaveer nagar, mahaveer nagar,14700000.0,1050.0,road view,https://www.squareyards.com/resale-1050-sq-ft-plot-in-mahaveer-nagar/9845272
2760,diggi road, diggi road,4628000.0,2997.0,,https://www.squareyards.com/resale-333-sq-yd-plot-in-diggi-road/9711756
2761,hardhyanpura, hardhyanpura,5149000.0,1611.0,garden view,https://www.squareyards.com/resale-179-sq-yd-plot-in/9711303
2763,mahaveer nagar, mahaveer nagar,37000000.0,2303.0,road view,https://www.squareyards.com/resale-2303-sq-ft-plot-in-mahaveer-nagar/9837488
2764,mahaveer nagar, mahaveer nagar,17500000.0,1100.0,road view,https://www.squareyards.com/resale-1100-sq-ft-plot-in-mahaveer-nagar/9837474
2768,mahaveer nagar, mahaveer nagar,21400000.0,1350.0,road view,https://www.squareyards.com/resale-1350-sq-ft-plot-in-mahaveer-nagar/9837499
2771,central jaipur, bani park,19500000.0,1006.0,road view,https://www.squareyards.com/resale-1006-sq-ft-plot-in-bani-park/9827874
2772,mahaveer nagar, mahaveer nagar,15500000.0,1110.0,road view,https://www.squareyards.com/resale-1110-sq-ft-plot-in-mahaveer-nagar/9845308
2773,mahaveer nagar, mahaveer nagar,20300000.0,1400.0,road view,https://www.squareyards.com/resale-1400-sq-ft-plot-in-mahaveer-nagar/9845283
2774,mahaveer nagar, mahaveer nagar,18900000.0,1350.0,road view,https://www.squareyards.com/resale-1350-sq-ft-plot-in-mahaveer-nagar/9845276
2775,mahaveer nagar, mahaveer nagar,17500000.0,1250.0,road view,https://www.squareyards.com/resale-1250-sq-ft-plot-in-mahaveer-nagar/9845280
2776,mahaveer nagar, mahaveer nagar,23900000.0,1710.0,road view,https://www.squareyards.com/resale-1710-sq-ft-plot-in-mahaveer-nagar/9845324
2778,mahaveer nagar, mahaveer nagar,26000000.0,1860.0,road view,https://www.squareyards.com/resale-1860-sq-ft-plot-in-mahaveer-nagar/9845341
2779,mahaveer nagar, mahaveer nagar,21800000.0,1560.0,road view,https://www.squareyards.com/resale-1560-sq-ft-plot-in-mahaveer-nagar/9845340
2780,mahaveer nagar, mahaveer nagar,16200000.000000002,1160.0,road view,https://www.squareyards.com/resale-1160-sq-ft-plot-in-mahaveer-nagar/9845334
2781,mahaveer nagar, mahaveer nagar,29400000.0,2100.0,road view,https://www.squareyards.com/resale-2100-sq-ft-plot-in-mahaveer-nagar/9845342
2783,mahaveer nagar, mahaveer nagar,17600000.0,1260.0,road view,https://www.squareyards.com/resale-1260-sq-ft-plot-in-mahaveer-nagar/9845339
2785,mahaveer nagar, mahaveer nagar,21000000.0,1500.0,road view,https://www.squareyards.com/resale-1500-sq-ft-plot-in-mahaveer-nagar/9845264
2786,mahaveer nagar, mahaveer nagar,13500000.0,1005.0,road view,https://www.squareyards.com/resale-1005-sq-ft-plot-in-mahaveer-nagar/9845292
2790,mahaveer nagar, mahaveer nagar,22200000.000000004,1400.0,road view,https://www.squareyards.com/resale-1400-sq-ft-plot-in-mahaveer-nagar/9837481
2791,mahaveer nagar, mahaveer nagar,37000000.0,2301.0,road view,https://www.squareyards.com/resale-2301-sq-ft-plot-in-mahaveer-nagar/9837470
2792,mahaveer nagar, mahaveer nagar,15900000.0,1000.0,road view,https://www.squareyards.com/resale-1000-sq-ft-plot-in-mahaveer-nagar/9837471
2793,mahaveer nagar, mahaveer nagar,28600000.0,1800.0,road view,https://www.squareyards.com/resale-1800-sq-ft-plot-in-mahaveer-nagar/9837490
