,property_type,location_area,location,total_price,price_sqft,bhk,bath,covered_parking,open_parking,pooja_room,servant_room,study_room,extra_rooms,furnished_status,lat,long_,property_link,builtup_area
2372, Builder Floor ,vaishali nagar, Vaishali Nagar,2808000.0,3120.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-900-sq-ft-builder-floor-in-vaishali-nagar/9546843,900.0
2373, Builder Floor ,vaishali nagar, Vaishali Nagar,2900000.0,3155.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-919-sq-ft-builder-floor-in-vaishali-nagar/9546845,919.0
2374, Builder Floor ,vaishali nagar, Vaishali Nagar,2509000.0,3584.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-700-sq-ft-builder-floor-in-vaishali-nagar/9546827,700.0
2375, Builder Floor ,vaishali nagar, Vaishali Nagar,2907000.0,2972.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-978-sq-ft-builder-floor-in-vaishali-nagar/9546851,978.0
2376, Builder Floor ,vaishali nagar, Vaishali Nagar,2600000.0,3636.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-715-sq-ft-builder-floor-in-vaishali-nagar/9546828,715.0
2377, Builder Floor ,sodala, Sodala,6500000.0,4642.0,3,2.0,1.0,1.0,0,0,0,0,semi-furnished,26.8855858719876,75.76806854456663,https://www.squareyards.com/resale-3-bhk-1400-sq-ft-builder-floor-in-sodala/8588158,1400.0
2378, Builder Floor ,vaishali nagar, Vaishali Nagar,15900000.0,6516.0,3,2.0,1.0,1.0,0,1,0,0,semi-furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-servant-room-2440-sq-ft-builder-floor-in-vaishali-nagar/9344400,2440.0
2379, Builder Floor ,central jaipur, C-Scheme,28000000.0,13930.0,3,3.0,2.0,1.0,0,0,0,0,Semi-Furnished,26.9132858,75.8034465,https://www.squareyards.com/resale-3-bhk-2010-sq-ft-builder-floor-in-c-scheme/9407624,2010.0
2380, Builder Floor ,sodala, Sodala,5500000.0,4230.0,3,2.0,1.0,1.0,0,0,0,0,semi-furnished,26.89311506302128,75.77950313687325,https://www.squareyards.com/resale-3-bhk-1300-sq-ft-builder-floor-in-sodala/9226979,1300.0
2381, Builder Floor ,central jaipur, C-Scheme,28000000.0,13930.0,3,3.0,2.0,1.0,0,0,0,0,Semi-Furnished,26.9132858,75.8034465,https://www.squareyards.com/resale-3-bhk-2010-sq-ft-builder-floor-in-c-scheme/9407615,2010.0
2382, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3962000.0,4148.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213034,955.0
2383, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3982000.0,4169.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213038,955.0
2384, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3900000.0,4083.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213027,955.0
2385, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3864000.0,4046.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213022,955.0
2386, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3925000.0,4109.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213029,955.0
2387, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3952000.000000001,4138.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213032,955.0
2388, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3990000.0,4178.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213039,955.0
2389, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3935000.0,4120.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213030,955.0
2390, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3946000.0,4131.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213031,955.0
2391, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3823000.0,4003.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213018,955.0
2392, Builder Floor ,vaishali nagar, Vaishali Nagar,2003000.0,1616.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1239-sq-ft-builder-floor-in-vaishali-nagar/9513967,1239.0
2393, Builder Floor ,vaishali nagar, Vaishali Nagar,2006000.0,1537.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1305-sq-ft-builder-floor-in-vaishali-nagar/9513970,1305.0
2394, Builder Floor ,vaishali nagar, Vaishali Nagar,2100000.0,1556.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1349-sq-ft-builder-floor-in-vaishali-nagar/9513974,1349.0
2395, Builder Floor ,vaishali nagar, Vaishali Nagar,2102000.0,1550.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1356-sq-ft-builder-floor-in-vaishali-nagar/9513978,1356.0
2396, Builder Floor ,vaishali nagar, Vaishali Nagar,2103000.0,1536.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1369-sq-ft-builder-floor-in-vaishali-nagar/9513979,1369.0
2397, Builder Floor ,vaishali nagar, Vaishali Nagar,2108000.0,1529.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1378-sq-ft-builder-floor-in-vaishali-nagar/9513980,1378.0
2398, Builder Floor ,vaishali nagar, Vaishali Nagar,2109000.0,1518.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1389-sq-ft-builder-floor-in-vaishali-nagar/9513981,1389.0
2399, Builder Floor ,vaishali nagar, Vaishali Nagar,2309000.0,1562.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1478-sq-ft-builder-floor-in-vaishali-nagar/9513984,1478.0
2400, Builder Floor ,vaishali nagar, Vaishali Nagar,2408000.0,1575.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1528-sq-ft-builder-floor-in-vaishali-nagar/9513991,1528.0
2401, Builder Floor ,vaishali nagar, Vaishali Nagar,2407000.0,1556.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1546-sq-ft-builder-floor-in-vaishali-nagar/9513994,1546.0
2402, Builder Floor ,vaishali nagar, Vaishali Nagar,2506000.0,1538.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1629-sq-ft-builder-floor-in-vaishali-nagar/9513998,1629.0
2403, Builder Floor ,vaishali nagar, Vaishali Nagar,2603000.0,1531.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1700-sq-ft-builder-floor-in-vaishali-nagar/9514003,1700.0
2404, Builder Floor ,vaishali nagar, Vaishali Nagar,2608000.0,1485.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1756-sq-ft-builder-floor-in-vaishali-nagar/9514006,1756.0
2405, Builder Floor ,central jaipur, C-Scheme,28000000.0,13930.0,3,3.0,2.0,1.0,0,0,0,0,Semi-Furnished,26.9132858,75.8034465,https://www.squareyards.com/resale-3-bhk-2010-sq-ft-builder-floor-in-c-scheme/9407492,2010.0
2406, Builder Floor ,shyam nagar, Shyam Nagar,12100000.0,6540.0,3,2.0,1.0,,0,0,0,0,semi-furnished,26.89485084132381,75.76180323958397,https://www.squareyards.com/resale-3-bhk-1850-sq-ft-builder-floor-in-shyam-nagar/8336134,1850.0
